user_id,event_type,product_id
825,detail_product_view,3149
278,purchase,9600
13,home_page_view,6656
444,add_to_cart,976
209,purchase,421
683,detail_product_view,3564
272,add_to_cart,126
604,home_page_view,3856
534,add_to_cart,1776
192,detail_product_view,3233
548,purchase,2561
568,home_page_view,5980
57,add_to_cart,3776
208,home_page_view,8169
902,purchase,7819
995,detail_product_view,4856
440,add_to_cart,1582
856,add_to_cart,4982
260,add_to_cart,4436
396,home_page_view,6394
325,purchase,3016
482,detail_product_view,9335
564,add_to_cart,920
534,home_page_view,1731
182,add_to_cart,5655
866,purchase,6340
778,detail_product_view,7967
441,purchase,4025
748,detail_product_view,3795
766,add_to_cart,4101
637,home_page_view,2069
880,add_to_cart,3058
996,add_to_cart,9300
909,purchase,8055
373,detail_product_view,2996
713,add_to_cart,3540
663,purchase,3729
888,detail_product_view,7074
945,purchase,2157
289,home_page_view,1950
474,detail_product_view,6082
988,purchase,6789
930,purchase,7018
108,purchase,3710
144,purchase,8692
94,purchase,4178
840,detail_product_view,448
499,detail_product_view,6267
825,purchase,2299
467,purchase,48
552,purchase,9683
140,detail_product_view,1634
883,purchase,860
73,home_page_view,371
604,detail_product_view,2414
51,purchase,672
610,add_to_cart,759
978,home_page_view,5827
753,purchase,3852
163,detail_product_view,2888
462,home_page_view,1696
31,home_page_view,8797
93,add_to_cart,6125
243,home_page_view,3225
730,home_page_view,9758
907,add_to_cart,979
137,purchase,4309
607,add_to_cart,878
294,home_page_view,9413
486,detail_product_view,4514
910,purchase,501
24,purchase,342
797,home_page_view,4715
124,detail_product_view,7203
255,detail_product_view,1071
951,purchase,8138
524,detail_product_view,8070
198,purchase,3200
848,add_to_cart,3345
732,add_to_cart,4136
900,detail_product_view,9989
865,purchase,7029
927,add_to_cart,4757
972,add_to_cart,9993
497,add_to_cart,3177
921,detail_product_view,9325
883,purchase,4097
10,detail_product_view,5670
806,purchase,1356
476,purchase,6801
225,add_to_cart,6493
545,home_page_view,7206
232,add_to_cart,9107
906,detail_product_view,1983
389,home_page_view,3649
527,add_to_cart,9127
718,add_to_cart,4796
819,detail_product_view,5158
573,detail_product_view,556
420,add_to_cart,3489
172,home_page_view,7874
480,detail_product_view,72
329,purchase,728
902,purchase,7229
29,purchase,9813
471,detail_product_view,4913
818,detail_product_view,8199
204,add_to_cart,8641
387,detail_product_view,8604
264,home_page_view,787
601,add_to_cart,2083
897,detail_product_view,967
7,add_to_cart,5044
650,home_page_view,9371
160,home_page_view,8919
59,home_page_view,5432
730,add_to_cart,7513
11,purchase,7042
519,purchase,5970
994,add_to_cart,3184
732,purchase,1962
923,purchase,3953
262,detail_product_view,5109
48,detail_product_view,9439
301,purchase,2486
557,home_page_view,1755
261,detail_product_view,2681
639,purchase,652
673,home_page_view,2679
250,purchase,4212
882,add_to_cart,7318
763,purchase,9145
75,add_to_cart,7404
496,detail_product_view,7064
8,detail_product_view,3710
538,home_page_view,7151
779,detail_product_view,5014
660,add_to_cart,8581
650,purchase,6098
73,home_page_view,2253
401,home_page_view,9890
836,purchase,9371
958,purchase,3567
174,purchase,470
254,detail_product_view,270
565,add_to_cart,8919
655,detail_product_view,8764
169,add_to_cart,7733
119,detail_product_view,9491
62,purchase,2081
765,add_to_cart,7571
384,home_page_view,399
880,home_page_view,8521
457,purchase,6041
926,add_to_cart,1831
228,home_page_view,5757
664,home_page_view,6164
158,home_page_view,7201
388,detail_product_view,6780
899,purchase,6231
935,purchase,817
181,add_to_cart,6110
731,add_to_cart,8299
663,detail_product_view,9536
723,add_to_cart,7008
569,detail_product_view,9491
629,home_page_view,9660
501,detail_product_view,2771
264,detail_product_view,7144
607,add_to_cart,5396
352,purchase,7180
971,add_to_cart,2926
821,purchase,3095
735,add_to_cart,805
477,add_to_cart,4881
747,purchase,7369
765,add_to_cart,9214
68,detail_product_view,866
731,detail_product_view,7390
945,add_to_cart,1819
161,purchase,7141
316,home_page_view,3318
670,detail_product_view,2691
222,detail_product_view,2606
456,purchase,3386
803,detail_product_view,3470
57,home_page_view,3561
255,detail_product_view,4818
229,purchase,699
158,add_to_cart,3016
876,purchase,677
748,add_to_cart,259
204,add_to_cart,8648
260,purchase,1662
690,add_to_cart,6419
900,add_to_cart,7214
756,home_page_view,9853
284,detail_product_view,9440
614,add_to_cart,7326
123,detail_product_view,3697
979,purchase,8601
984,detail_product_view,9113
314,add_to_cart,6433
803,purchase,5295
659,home_page_view,2098
665,add_to_cart,4265
822,add_to_cart,9320
193,purchase,8674
617,home_page_view,7630
293,home_page_view,5041
466,home_page_view,3418
317,purchase,9164
958,purchase,8936
201,home_page_view,2205
402,detail_product_view,2365
235,home_page_view,7089
403,detail_product_view,5181
514,detail_product_view,5280
869,add_to_cart,1378
540,detail_product_view,6137
179,add_to_cart,4089
483,purchase,4473
696,detail_product_view,4542
855,add_to_cart,56
846,purchase,1574
439,purchase,1079
336,add_to_cart,594
